,Name,Brand,Price €,ImageUrl,ProductUrl
6029,"Sneakers mit ""Bag Bugs""-Design",Fendi,695 €,https://cdn-images.farfetch-contents.com/15/50/82/35/15508235_27969868_300.jpg,https://www.farfetch.com/de/shopping/men/fendi-sneakers-mit-bag-bugs-design-item-15508235.aspx
6030,'Jordan Why Not? Zer0.3' Sneakers,Nike,139 €,https://cdn-images.farfetch-contents.com/15/50/82/23/15508223_27995879_300.jpg,https://www.farfetch.com/de/shopping/men/nike-jordan-why-not-zer03-sneakers-item-15508223.aspx
6031,Sneakers mit Kontrasteinsätzen,Sandro Paris,235 €,https://cdn-images.farfetch-contents.com/15/50/77/68/15507768_29177694_300.jpg,https://www.farfetch.com/de/shopping/men/sandro-paris-sneakers-mit-kontrasteinsatzen-item-15507768.aspx
6032,'Terrain' Derby-Sneakers,MCM,360 €,https://cdn-images.farfetch-contents.com/15/50/74/88/15507488_27725245_300.jpg,https://www.farfetch.com/de/shopping/men/mcm-terrain-derby-sneakers-item-15507488.aspx
6033,Loafer mit Quasten,Doucal's,355 €,https://cdn-images.farfetch-contents.com/15/50/72/71/15507271_27760800_300.jpg,https://www.farfetch.com/de/shopping/men/doucals-loafer-mit-quasten-item-15507271.aspx
6034,Loafer mit Logo,Prada,487 €,https://cdn-images.farfetch-contents.com/15/50/71/16/15507116_27784766_300.jpg,https://www.farfetch.com/de/shopping/men/prada-loafer-mit-logo-item-15507116.aspx
6035,Penny-Loafer mit Tabi-Kappe,Maison Margiela,690 €,https://cdn-images.farfetch-contents.com/15/50/70/68/15507068_27681896_300.jpg,https://www.farfetch.com/de/shopping/men/maison-margiela-penny-loafer-mit-tabi-kappe-item-15507068.aspx
6036,'Malibu' Sneakers,Saint Laurent,425 €,https://cdn-images.farfetch-contents.com/15/50/68/30/15506830_28237220_300.jpg,https://www.farfetch.com/de/shopping/men/saint-laurent-malibu-sneakers-item-15506830.aspx
6037,Klassische Monk-Schuhe,Doucal's,355 €,https://cdn-images.farfetch-contents.com/15/50/64/08/15506408_27733253_300.jpg,https://www.farfetch.com/de/shopping/men/doucals-klassische-monk-schuhe-item-15506408.aspx
6038,Sneakers mit runder Kappe,Marsèll,398 €,https://cdn-images.farfetch-contents.com/15/50/63/67/15506367_27758832_300.jpg,https://www.farfetch.com/de/shopping/men/marsell-sneakers-mit-runder-kappe-item-15506367.aspx
6039,Schnürstiefel aus Lackleder ,Marsèll,568 €,https://cdn-images.farfetch-contents.com/15/50/63/65/15506365_27789980_300.jpg,https://www.farfetch.com/de/shopping/men/marsell-schnurstiefel-aus-lackleder-item-15506365.aspx
6040,Sneakers mit Schnürung,LANVIN,360 €,https://cdn-images.farfetch-contents.com/15/50/62/49/15506249_27721197_300.jpg,https://www.farfetch.com/de/shopping/men/lanvin-sneakers-mit-schnurung-item-15506249.aspx
6041,'Corner Bugs' Sneakers,Fendi,620 €,https://cdn-images.farfetch-contents.com/15/50/55/03/15505503_28107193_300.jpg,https://www.farfetch.com/de/shopping/men/fendi-corner-bugs-sneakers-item-15505503.aspx
6042,'Appeal' Derby-Schuhe,Boss Hugo Boss,294 €,https://cdn-images.farfetch-contents.com/15/50/54/76/15505476_28295301_300.jpg,https://www.farfetch.com/de/shopping/men/boss-hugo-boss-appeal-derby-schuhe-item-15505476.aspx
6043,Sneakers mit Kontrastschnürung,Ermenegildo Zegna,575 €,https://cdn-images.farfetch-contents.com/15/50/43/19/15504319_27732853_300.jpg,https://www.farfetch.com/de/shopping/men/ermenegildo-zegna-sneakers-mit-kontrastschnurung-item-15504319.aspx
6044,Segelschuhe mit Schleifendetail,Ermenegildo Zegna,595 €,https://cdn-images.farfetch-contents.com/15/50/43/16/15504316_27736587_300.jpg,https://www.farfetch.com/de/shopping/men/ermenegildo-zegna-segelschuhe-mit-schleifendetail-item-15504316.aspx
6045,Sneakers mit mandelförmiger Kappe,Ermenegildo Zegna,575 €,https://cdn-images.farfetch-contents.com/15/50/43/14/15504314_27732832_300.jpg,https://www.farfetch.com/de/shopping/men/ermenegildo-zegna-sneakers-mit-mandelformiger-kappe-item-15504314.aspx
6046,Sneakers mit dicker Sohle,Ermenegildo Zegna,575 €,https://cdn-images.farfetch-contents.com/15/50/43/09/15504309_27732819_300.jpg,https://www.farfetch.com/de/shopping/men/ermenegildo-zegna-sneakers-mit-dicker-sohle-item-15504309.aspx
6047,Loafer mit Schleifendetail,Ermenegildo Zegna,595 €,https://cdn-images.farfetch-contents.com/15/50/43/08/15504308_27732815_300.jpg,https://www.farfetch.com/de/shopping/men/ermenegildo-zegna-loafer-mit-schleifendetail-item-15504308.aspx
6048,Loafer mit Schleifendetail,Ermenegildo Zegna,595 €,https://cdn-images.farfetch-contents.com/15/50/43/06/15504306_27732808_300.jpg,https://www.farfetch.com/de/shopping/men/ermenegildo-zegna-loafer-mit-schleifendetail-item-15504306.aspx
