,Brand,Reference,Google Search Code,Category,Name,Product Page URL,Price(Euros),Product Url,Product Price
24,O'NEILL,9P1476-6900 GREEN AOP,9P1476-6900,Sweatshirts,LB NEWTON CREW,,,https://www.oneill.com/eu/en/newton--sweatshirt/9P1476-6900-128.html,€34.99
25,O'NEILL,9P1476-9900 BLACK AOP,9P1476-9900,Sweatshirts,LB NEWTON CREW,,,https://www.oneill.com/eu/en/newton--sweatshirt/9P1476-9900-128.html,€34.99
26,O'NEILL,9P1478-8026 Asphalt,9P1478-8026,Sweatshirts,LB FAWN LOGO CREW,,,https://www.oneill.com/eu/en/fawn-logo-sweatshirt/9P1478-8026-104.html,€27.99
27,O'NEILL,8P1478-6077 Winter Mos,8P1478-6077,Sweatshirts,LB PCH CALIFORNIA FZ HOODIE,,,Url Not Found,No Url to scrape price
28,O'NEILL,0A1490-5204 Scale,0A1490-5204,Sweatshirts,LB TECH ZIP THRU SWEATSHIRT,,,https://www.oneill.com/eu/en/tech-zip-thru-sweatshirt/0A1490-5204-128.html,€41.99
29,O'NEILL,0A1490-6096 Amazon Gre,0A1490-6096,Sweatshirts,LB TECH ZIP THRU SWEATSHIRT,,,https://www.oneill.com/eu/en/tech-zip-thru-sweatshirt/0A1490-6096-116.html,€41.99
30,O'NEILL,0A1488-6920 GREEN AOP,0A1488-6920,Sweatshirts,LB HOODIE,,,https://www.oneill.com/eu/en/colorblock-hoodie/0A1488-6920-104.html,€41.99
31,O'NEILL,8P2176-6058 Forest Nig,8P2176-6058,Tees,LB JACK'S BASE L/SLV T-SHIRT,,,Url Not Found,No Url to scrape price
32,O'NEILL,0A2476-1030 Powder Whi,0A2476-1030,Tees,LB HORIZON POCKET T-SHIRT,,,https://www.oneill.com/de/en/horizon-pocket-t-shirt/0A2476-1030-128.html,€12.59
33,O'NEILL,0A2476-8001 Silver Mel,0A2476-8001,Tees,LB HORIZON POCKET T-SHIRT,,,https://www.oneill.com/eu/en/horizon-pocket-t-shirt/0A2476-8001-104.html,€12.59
34,O'NEILL,0A2482-5930 BLUE AOP W,0A2482-5930,Tees,LB MATEO STRIPED T-SHIRT,,,https://www.oneill.com/eu/en/mateo-striped-t-shirt/0A2482-5930-140.html,€16.09
35,O'NEILL,0A2482-5950 BLUE AOP W,0A2482-5950,Tees,LB MATEO STRIPED T-SHIRT,,,https://www.oneill.com/eu/en/mateo-striped-t-shirt/0A2482-5950-128.html,€16.09
36,O'NEILL,0A2496-2533 Spicy Oran,0A2496-2533,Tees,LB BOXY T-SHIRT,,,https://www.oneill.com/eu/en/boxy-t-shirt/0A2496-2533-128.html,€20.99
37,O'NEILL,0A2496-6910 GREEN AOP,0A2496-6910,Tees,LB BOXY T-SHIRT,,,https://www.oneill.com/nl/en/boxy-t-shirt/0A2496-6910-116.html,€20.99
38,O'NEILL,0A2496-6920 GREEN AOP,0A2496-6920,Tees,LB BOXY T-SHIRT,,,https://www.oneill.com/fr/en/boxy-t-shirt/0A2496-6920-104.html,€20.99
